TAZ,Work_0,Work_1,Work_2,Work_3,Work_4,University,School,Escort,Maintenance,Discretionary,AtWork
2038,2.51117,0.25994,1.18903,1.20103,-0.84485,0,0,0,0,0,0
2039,2.00709,1.00526,1.10768,0.36617,-1.07285,1.36893,-0.35158,0,0,0,0
2040,1.58376,0.81289,0.97847,0.45016,-0.92532,2.23127,0,0,0,0,0
2041,1.06411,0.69085,1.11783,0.32903,-0.60005,1.83983,0,0,0,0,0
2042,0.62944,0.79845,1.19263,0.45167,-0.80671,0,0,0,0,0,0
2043,0.11034,-0.17433,0.18471,-0.42096,-1.4556,-0.51317,-0.23721,0,0,0,0
2044,0.9403,0.54432,1.08041,0.36148,-0.90304,1.61202,-0.1881,0,0,0,0
2045,1.42498,0.72091,1.02684,0.7046,-0.69243,2.08311,0.34711,0,0,0,0
2046,1.44068,0.80961,1.21483,0.48904,-0.5156,1.9072,-0.03453,0,0,0,0
2047,1.33749,0.9245,1.31225,0.63174,-0.68463,1.97639,0.27843,0,0,0,0
2048,1.37831,1.2497,1.52539,0.74017,-0.9414,1.70005,0,0,0,0,0
2049,1.86845,1.10642,0.97348,0.45204,-0.90513,1.79183,0,0,0,0,0
2050,1.03471,0.56169,1.06587,0.19544,-0.84861,1.96617,0,0,0,0,0
2051,1.71357,0.91881,1.09879,0.52582,-0.82036,1.91628,0,0,0,0,0
2052,1.70666,0.90191,1.26278,0.72258,-0.37422,2.49524,0,0,0,0,0
2053,1.85083,1.05404,1.09195,0.43453,-0.90895,1.94672,0,0,0,0,0
2054,0.62727,0.24211,0.57556,0.10417,-1.02834,1.46677,-0.48846,0,0,0,0
2055,1.18951,0.68289,1.01308,0.47737,-0.71067,1.64599,0,0,0,0,0
2056,0.98703,0.52913,1.23733,0.55907,-0.83487,1.84715,0.01736,0,0,0,0
2057,2.18444,1.33205,1.48441,1.15873,0.02172,0,0,0,0,0,0
2058,1.15007,0.53308,0.63959,0.35815,-0.8456,1.70492,0.21857,0,0,0,0
2059,1.81556,1.21838,1.34411,0.68725,-0.6857,1.92028,0.34177,0,0,0,0
2060,1.59254,0.69129,0.96443,0.39355,-0.82611,1.68646,-0.33475,0,0,0,0
2061,1.59017,0.82147,1.15535,0.46019,-0.4529,1.89995,0.48955,0,0,0,0
2062,1.38659,0.66672,0.85208,0.34565,-0.89057,1.20835,0.07268,0,0,0,0
2063,1.40309,0.60422,0.97734,0.44519,-0.64113,1.82225,0.2936,0,0,0,0
2064,0.16591,1.1579,3.35816,2.3536,4.59771,4.95893,-1.17013,0,0,0,0
