TAZ,STATE,COUNTY,DMA,STL_Zone,region,CBM_Ext
8508,Florida,Washington,1,163,1_Northwest,11525
8509,Florida,Washington,1,163,1_Northwest,11525
8074,Florida,Nassau,3,110,3_Northeast,11558
8105,Florida,Walton,1,161,1_Northwest,11520
8472,Florida,Santa Rosa,1,138,1_Northwest,11509
8473,Florida,Santa Rosa,1,138,1_Northwest,11505
8633,Florida,Jackson,1,73,1_Northwest,11530
8106,Florida,Walton,1,161,1_Northwest,11520
8055,Florida,Nassau,3,110,3_Northeast,11557
8107,Florida,Walton,1,161,1_Northwest,11520
8636,Florida,Jackson,1,73,1_Northwest,11529
8369,Florida,Okaloosa,1,114,1_Northwest,11511
8640,Florida,Jackson,1,73,1_Northwest,11529
8295,Florida,Escambia,1,40,1_Northwest,11505
8476,Florida,Santa Rosa,1,138,1_Northwest,11511
8293,Florida,Escambia,1,40,1_Northwest,11505
8475,Florida,Santa Rosa,1,138,1_Northwest,11511
8108,Florida,Walton,1,161,1_Northwest,11520
8464,Florida,Santa Rosa,1,138,1_Northwest,11511
8102,Florida,Walton,1,161,1_Northwest,11515
8638,Florida,Jackson,1,73,1_Northwest,11530
8512,Florida,Washington,1,163,1_Northwest,11525
8510,Florida,Washington,1,163,1_Northwest,11525
8639,Florida,Jackson,1,74,1_Northwest,11529
8294,Florida,Escambia,1,40,1_Northwest,11505
8684,Florida,Holmes,1,69,1_Northwest,11520
8474,Florida,Santa Rosa,1,138,1_Northwest,11505
8515,Florida,Washington,1,163,1_Northwest,11529
8513,Florida,Washington,1,163,1_Northwest,11525
8642,Florida,Jackson,1,74,1_Northwest,11529
8477,Florida,Santa Rosa,1,138,1_Northwest,11511
8109,Florida,Walton,1,161,1_Northwest,11520
8644,Florida,Jackson,1,74,1_Northwest,11529
8514,Florida,Washington,1,163,1_Northwest,11525
8073,Florida,Nassau,3,110,3_Northeast,11558
8641,Florida,Jackson,1,74,1_Northwest,11530
8645,Florida,Jackson,1,74,1_Northwest,11530
8359,Florida,Okaloosa,1,114,1_Northwest,11515
8388,Florida,Okaloosa,1,114,1_Northwest,11515
8519,Florida,Washington,1,163,1_Northwest,11525
8392,Florida,Okaloosa,1,114,1_Northwest,11515
8686,Florida,Holmes,1,69,1_Northwest,11520
8391,Florida,Okaloosa,1,114,1_Northwest,11515
8479,Florida,Santa Rosa,1,138,1_Northwest,11511
8511,Florida,Washington,1,163,1_Northwest,11520
8688,Florida,Holmes,1,70,1_Northwest,11525
8689,Florida,Holmes,1,70,1_Northwest,11525
8516,Florida,Washington,1,163,1_Northwest,11529
8517,Florida,Washington,1,163,1_Northwest,11525
8521,Florida,Washington,1,163,1_Northwest,11529
